Månad,Total Betalning,Betalning Remember,Restskuld Remember,Räntekostnad,Betalning CircleK,Restskuld CircleK,Räntekostnad,Betalning ICA 1,Restskuld ICA 1,Räntekostnad ,Betalning ICA 2,Restskuld ICA 2,Räntekostnad,Betalning Norwegian,Restskuld Norwegian,Räntekostnad,Betalning Billån,Restskuld Billån,Räntekostnad,Räntekostnad Total,Skuld Total,,,,Remember,"24000,00",,
2025-10,"10 206,00 kr","500,00","23500,00",,"500,00","23500,00",,"3203,00","136620,00",,"2203,00","117797,00",,,,,"3800,00","192600,00",,,,,,,CircleK,"24000,00",,
2025-11,"15 293,00 kr","500,00","23205,47","205,47","500,00","23321,17","321,17","3203,00","134332,35","915,35","2203,00","116352,32","758,32","5087,00","163936,00",,"3800,00","189763,00","963,00",,,,,,Ica1,"139823,00",,
2025-12,"15 293,00 kr","500,00","22908,36","202,89","500,00","23139,89","318,72","3203,00","132029,38","900,03","2203,00","114898,34","749,02","5087,00","160900,93","2051,93","3800,00","186911,82","948,81","5171,41","640788,72",,,,Ica2,"120000,00",,
2026-01,"15 293,00 kr","500,00","22608,66","200,30","500,00","22956,13","316,25","3203,00","129710,98","884,60","2203,00","113434,99","739,66","5087,00","157827,88","2013,94","3800,00","184046,37","934,56","5089,30","630585,01",,,,Bil,"196400,00",,
2026-02,"15 293,00 kr","500,00","22306,33","197,68","500,00","22769,87","313,73","3203,00","127377,04","869,06","2203,00","111962,23","730,24","5087,00","154716,35","1975,48","3800,00","181166,61","920,23","5006,42","620298,43",,,,Norwegian,"169023,00",,
2026-03,"15 293,00 kr","500,00","22001,36","195,03","500,00","22581,06","311,19","3203,00","125027,47","853,43","2203,00","110479,99","720,76","5087,00","151565,89","1936,53","3800,00","178272,44","905,83","4922,77","609928,20",,,,,,,"476846,00"
2026-04,"15 293,00 kr","500,00","21693,73","192,37","500,00","22389,66","308,61","3203,00","122662,15","837,68","2203,00","108988,20","711,21","5087,00","148375,99","1897,10","3800,00","175363,80","891,36","4838,33","599473,54",,,,,,,
2026-05,"15 293,00 kr","500,00","21383,40","189,68","500,00","22195,66","305,99","3203,00","120280,99","821,84","2203,00","107486,82","701,61","5087,00","145146,16","1857,17","3800,00","172440,62","876,82","4753,11","588933,64",,,,,,,
2026-06,"15 293,00 kr","500,00","21070,37","186,96","500,00","21999,00","303,34","3203,00","117883,87","805,88","2203,00","105975,76","691,95","5087,00","141875,91","1816,75","3800,00","169502,82","862,20","4667,08","578307,73",,,,Totalt:,"673246,00",,
2026-07,"15 293,00 kr","500,00","20754,59","184,23","500,00","21799,65","300,65","3203,00","115470,69","789,82","2203,00","104454,98","682,22","5087,00","138564,72","1775,81","3800,00","166550,34","847,51","4580,25","567594,97",,,,,,,
